"","V1","V2"
"OLaNSC_7",0.00433762648952219,-0.229586858989924
"OLaNSC_6",0.0408623174945492,-0.175399658238574
"OLaNSC_5",-0.0486051574038655,-0.308894975861735
"OLaNSC_4",0.0572816966271557,-0.156925691050298
"OLaNSC_3",0.0836879988835235,-0.137342109416561
"OLaNSC_2",0.0422432692625725,-0.115973321582523
"OLaNSC_13",0.0347114304774278,-0.161848633726401
"OLaNSC_12",0.0426992015780206,-0.150857105892328
"OLaNSC_11",0.00577306425867001,-0.196449566778302
"OLaNSC_10",0.0706612139795146,-0.137971859412725
"OLaNSC_1",-0.00130846401196487,-0.227418683221771
"OLTAP_9",0.129520842442711,-0.131788214549859
"OLTAP_8",0.315553265853655,0.120210320599772
"OLTAP_7",0.210700879085807,0.00114196172428032
"OLTAP_6",0.336072786192262,0.138502910641689
"OLTAP_5",0.177890126383396,-0.0281326582943929
"OLTAP_4",0.214746155461072,0.026422155780126
"OLTAP_3",0.152808088949006,-0.0372320237475035
"OLTAP_2",0.156951422998144,-0.0293667407848777
"OLTAP_11",0.174454576914689,-0.0209617112835458
"OLTAP_10",0.208928148824587,0.00522494340696442
"OLTAP_1",0.0638354419454291,-0.141886817648584
"NB_99",0.222091906889561,0.00688024809116191
"NB_98",0.220052961489787,0.0166610149387572
"NB_97",0.362936989442604,0.172198308713942
"NB_96",0.246359687004914,0.0488676892568005
"NB_95",0.267836606325671,0.0815375044723527
"NB_94",0.340847536268007,0.151882181938263
"NB_93",0.261656382914269,0.0442446471585504
"NB_92",0.275961601201271,0.0604100933911036
"NB_91",0.268688681524034,0.0429196207619488
"NB_90",0.427846784511843,0.288870954628527
"NB_9",0.129206482778808,-0.069974025495423
"NB_89",0.271261788087309,0.0697359667974002
"NB_88",0.302639905606053,0.0911558151544924
"NB_87",0.172037462684478,-0.033726467672401
"NB_86",0.276860266821448,0.0685660700051964
"NB_85",0.200248087587159,0.00455412581540653
"NB_84",0.215789403873496,0.0180727561050076
"NB_83",0.207120218832636,-0.025796247335742
"NB_82",0.192347784650876,0.00355324412263595
"NB_81",0.277686179200284,0.0602710090003213
"NB_80",0.293043537456549,0.0944101331382829
"NB_8",0.147736595535919,-0.041375164872818
"NB_79",0.111216888711978,-0.09369856140609
"NB_78",0.250801151593918,0.0456315454422222
"NB_77",0.178063787705115,-0.00531714103671671
"NB_76",0.188183512462209,-0.0653882417055465
"NB_75",0.370421135080742,0.181836054336712
"NB_74",0.1604695919393,-0.0368449505810481
"NB_73",0.224444401176538,0.00826647352455764
"NB_72",0.280615497518488,0.0381739424963884
"NB_71",0.179156005895616,-0.0380883179609904
"NB_70",0.35373503346461,0.170738927135615
"NB_7",0.252587562593797,0.0243413297143259
"NB_69",0.434047682798778,0.328544620072672
"NB_68",0.240142946439207,0.0426656825671001
"NB_67",0.27311757534725,0.0774996223390202
"NB_66",0.248201895494239,0.0435252942227165
"NB_65",0.354575052134771,0.159471293510172
"NB_64",0.229274414797547,0.0247901352285185
"NB_63",0.108138012477217,-0.0795557725210819
"NB_62",0.204654062312035,-0.00747795511028878
"NB_61",0.197864776317461,-0.000597444876384439
"NB_60",0.168680256824209,-0.0203449544419646
"NB_6",0.288615509796879,0.0861786624641096
"NB_59",0.349901733249748,0.17511314053893
"NB_58",0.323732708965045,0.141334124431331
"NB_57",0.116398905943681,-0.084938300407414
"NB_56",0.181922307763207,-0.0286554304133228
"NB_55",0.428885718371076,0.274623844820453
"NB_54",0.272019394427671,0.0724122952487726
"NB_53",0.332028169106914,0.11492107114902
"NB_52",0.322522726923886,0.100178923664544
"NB_51",0.100781195537134,-0.0845805835924374
"NB_50",0.231075780107406,0.0272710381713958
"NB_5",0.3322844771985,0.141798032085484
"NB_49",0.337470342605523,0.16445769819278
"NB_48",0.215659266253739,-0.0113495466200885
"NB_47",0.343885597603276,0.210158624480037
"NB_46",0.189190653497772,-0.0358669644277528
"NB_45",0.238789871357775,0.00302416505107738
"NB_44",0.367214816734052,0.160380809331992
"NB_43",0.277409798385439,0.0910846590299834
"NB_42",0.288644998832493,0.0572324787464251
"NB_41",0.226555173966268,0.0194647170263727
"NB_40",0.0881212243501948,-0.110850240786396
"NB_4",0.372947713347519,0.241379434110452
