,V1,V2
pNSC_53,-0.149555568,0.033359887
pNSC_52,-0.298961379,0.114489937
pNSC_51,0.032207131,-0.010055761
pNSC_50,-0.097548963,0.014058115
pNSC_5,-0.3307104,0.135259668
pNSC_49,-0.240633108,0.078905457
pNSC_48,0.032520546,-0.010066933
pNSC_47,0.023221175,-0.009630293
pNSC_46,-0.030028572,-0.003094336
pNSC_44,-0.184107548,0.048972083
pNSC_43,-0.116807987,0.020603173
pNSC_42,-0.117155896,0.02072773
pNSC_41,-0.210673848,0.062398188
pNSC_40,-0.308676478,0.120763673
pNSC_4,-0.031016089,-0.002911076
pNSC_39,-0.134562315,0.027267433
pNSC_38,-0.074928824,0.00729384
pNSC_37,-0.422571234,0.197771844
pNSC_35,-0.15968098,0.037710849
pNSC_33,-0.111818447,0.018835923
pNSC_31,-0.207236347,0.060594257
pNSC_30,-0.174478943,0.044404943
pNSC_27,-0.171322471,0.04294423
pNSC_26,-0.174876836,0.044590093
pNSC_25,-0.185803015,0.049792699
pNSC_23,-0.35302894,0.150227836
pNSC_21,-0.185356214,0.049576445
pNSC_2,-0.113006562,0.019251528
pNSC_19,-0.238659512,0.077774489
pNSC_18,-0.158001261,0.036974587
pNSC_17,-0.079057423,0.008450232
pNSC_16,-0.088555579,0.0112482
pNSC_15,0.012539139,-0.008861626
pNSC_14,-0.120709888,0.022014144
pNSC_13,-0.208767016,0.06139454
pNSC_12,-0.06790492,0.005398743
pNSC_11,-0.245087025,0.081471195
pNSC_10,-0.422571234,0.197771844
pNSC_1,-0.064649583,0.004548591
aNSC_99,0.27335274,0.033085552
aNSC_98,0.251148736,0.026842241
aNSC_97,0.114150662,-0.005260305
aNSC_96,0.119305194,-0.004487759
aNSC_95,-0.195575817,0.054621529
aNSC_94,-0.068424873,0.005537506
aNSC_93,0.008767157,-0.008516475
aNSC_92,0.117674141,-0.004738598
aNSC_91,-0.042636629,-0.00059038
aNSC_90,0.130727773,-0.002588756
aNSC_9,0.109196026,-0.005958149
aNSC_89,0.046917238,-0.010322272
aNSC_88,-0.085724383,0.010394506
aNSC_87,0.062983774,-0.01001981
aNSC_86,-0.033550953,-0.002423629
aNSC_85,0.056379031,-0.010218063
aNSC_84,-0.022095703,-0.004485549
aNSC_83,0.141854297,-0.000517441
aNSC_81,0.214906918,0.016964367
aNSC_80,-0.023548457,-0.004236818
aNSC_8,0.252276961,0.027157425
aNSC_79,-0.042958424,-0.000519822
aNSC_78,-0.111955073,0.018883574
aNSC_77,0.122521094,-0.003979075
aNSC_76,-0.06444128,0.004495259
aNSC_74,0.127307991,-0.003186048
aNSC_73,0.01362987,-0.008954341
aNSC_72,0.033143132,-0.010088389
aNSC_71,0.009717513,-0.008613612
aNSC_70,0.066964012,-0.009852606
aNSC_7,0.041908019,-0.010290344
aNSC_69,-0.01616694,-0.005431331
aNSC_68,0.179402537,0.00787101
aNSC_67,0.042175603,-0.010293848
aNSC_66,0.026948833,-0.009830732
aNSC_65,0.141234543,-0.000638846
aNSC_64,0.092309674,-0.007962246
aNSC_63,0.031854891,-0.010042456
aNSC_62,0.030141822,-0.009974521
aNSC_61,0.050337648,-0.010309227
aNSC_60,-0.060645229,0.003541202
aNSC_6,0.017361748,-0.009242473
aNSC_59,-0.018435006,-0.005077062
aNSC_58,-0.02301491,-0.004329805
aNSC_57,-0.042036222,-0.000722028
aNSC_56,0.080687201,-0.009001801
aNSC_55,0.203905235,0.014077622
aNSC_54,-0.066538335,0.005036464
aNSC_53,-0.129849136,0.025440898
aNSC_52,0.159127404,0.003111776
aNSC_51,0.185160226,0.009296388
aNSC_50,0.309181995,0.04310535
aNSC_5,-0.114641433,0.019828156
aNSC_49,0.360041536,0.0562729
aNSC_48,0.08703631,-0.008467076
aNSC_47,0.280666274,0.035149099
aNSC_46,0.05043305,-0.010308462
aNSC_45,0.392801312,0.063716744
aNSC_44,0.249108719,0.026273509
aNSC_43,0.175112919,0.006827464
aNSC_42,0.206065808,0.014640166
aNSC_41,0.036511983,-0.010187458
aNSC_40,0.289627733,0.037670288
aNSC_4,-0.138182371,0.02869821
aNSC_39,0.322523082,0.046724755
aNSC_38,0.040191558,-0.010265441
aNSC_37,0.479513274,0.079666964
aNSC_36,0.146163818,0.000344152
aNSC_35,0.249288296,0.026323556
aNSC_34,0.038431101,-0.010232531
aNSC_33,-0.06819045,0.005474944
aNSC_32,0.348785726,0.053517929
aNSC_31,0.574875183,0.09418161
aNSC_30,0.074363139,-0.009444374
aNSC_3,-0.001106009,-0.007460212
aNSC_29,0.085121706,-0.008638172
aNSC_28,0.073784678,-0.009482027
aNSC_27,0.110111727,-0.005833197
aNSC_26,0.053830843,-0.010266998
aNSC_25,0.183123748,0.008788827
aNSC_24,0.125951932,-0.003415179
aNSC_23,-0.024111967,-0.00413861
aNSC_22,0.072224344,-0.009575651
aNSC_21,-0.053539805,0.001833361
aNSC_20,0.154927998,0.0021869
aNSC_2,0.078279125,-0.009181148
aNSC_19,0.068126613,-0.009795779
aNSC_18,0.019631831,-0.009404328
aNSC_17,-0.021634904,-0.004562029
aNSC_16,0.018761294,-0.009344176
aNSC_15,0.062066856,-0.010053948
aNSC_14,0.024756032,-0.009716839
aNSC_13,0.022960508,-0.009614825
aNSC_127,0.2183564,0.017880935
aNSC_126,0.278448746,0.034523802
aNSC_125,0.168024389,0.005143725
aNSC_124,0.231757969,0.021491282
aNSC_123,0.15055137,0.001252326
aNSC_122,0.136891442,-0.001470348
aNSC_121,0.121593705,-0.004128194
aNSC_120,0.128125,-0.003045626
aNSC_12,-0.068940638,0.005675151
aNSC_119,0.108237584,-0.006087206
aNSC_118,0.194028615,0.011534773
aNSC_117,0.230314458,0.021098398
aNSC_116,0.091402046,-0.008053539
aNSC_115,0.093376352,-0.007852665
aNSC_114,0.056305169,-0.010219806
aNSC_113,0.191870755,0.010985333
aNSC_112,0.21212467,0.016229162
aNSC_111,0.126188935,-0.003375404
aNSC_110,0.18839671,0.010107749
aNSC_11,0.092673719,-0.007925206
aNSC_109,0.14699214,0.000514349
aNSC_108,0.235207327,0.02243278
aNSC_107,0.256821947,0.028429529
aNSC_106,0.228589903,0.020630397
aNSC_105,0.163230274,0.004035279
aNSC_104,0.099644588,-0.007162389
aNSC_103,0.112263501,-0.005532273
aNSC_102,0.136934625,-0.001462279
aNSC_101,0.171330251,0.005921781
aNSC_100,0.11192805,-0.005579837
aNSC_10,0.05390466,-0.010265603
aNSC_1,0.081396457,-0.008945027
TAP_99,0.548341281,0.09035463
TAP_98,0.178906592,0.007749554
TAP_97,0.257375372,0.028584887
TAP_96,0.520115682,0.086105652
TAP_95,0.642059447,0.103495617
TAP_94,0.246809471,0.025633805
TAP_93,0.214373171,0.016823059
TAP_92,0.124582597,-0.00364269
TAP_91,0.563688695,0.092587488
TAP_90,0.54756665,0.090240527
TAP_9,0.297965556,0.040002187
TAP_89,0.524882603,0.086835768
TAP_88,0.526442367,0.087073591
TAP_87,0.37170321,0.059026179
TAP_86,0.274273305,0.033345419
TAP_85,0.313767194,0.044359301
TAP_84,0.539040395,0.088974495
TAP_83,0.276432932,0.033954992
TAP_82,0.674765932,0.108030196
TAP_81,0.518009255,0.085781456
TAP_80,0.261511195,0.029746708
TAP_8,0.288440998,0.037337117
TAP_79,0.361406067,0.056600348
TAP_78,0.266775001,0.0312294
TAP_77,0.279899798,0.034933071
TAP_76,0.183536996,0.008891437
TAP_75,0.303896245,0.041648623
TAP_74,0.306398194,0.042339545
TAP_73,0.397347424,0.064675943
TAP_72,0.206740269,0.014816275
TAP_71,0.178909956,0.007750378
TAP_70,0.208057572,0.015161032
TAP_7,0.126521075,-0.003319244
TAP_69,0.164912574,0.004420483
TAP_68,0.285141381,0.036409568
TAP_67,0.182595027,0.008657726
TAP_66,0.140844617,-0.000714864
TAP_65,0.230536833,0.021158833
TAP_64,0.477966303,0.07941259
TAP_63,0.178045484,0.007538984
TAP_62,0.218250333,0.017852608
TAP_61,0.108760096,-0.006017113
TAP_60,0.396588813,0.064517151
TAP_6,0.109546106,-0.005910525
TAP_59,0.255475996,0.028052315
TAP_58,0.607801204,0.098769139
TAP_57,0.429417091,0.070964248
TAP_56,0.374288812,0.059621821
TAP_55,0.499474738,0.082885722
TAP_54,0.301038988,0.040856822
TAP_53,0.406197581,0.066491334
TAP_52,0.374728185,0.059722392
TAP_51,0.223302716,0.01920414
TAP_50,0.31321168,0.044207907
TAP_5,0.103510026,-0.00669619
TAP_49,0.248444749,0.026088564
TAP_48,0.560486543,0.092126273
TAP_47,0.325660745,0.047561661
TAP_46,0.199889087,0.013038253
TAP_45,0.499721493,0.082924718
TAP_44,0.21190289,0.016170727
TAP_43,0.181626387,0.008418126
TAP_42,0.110877004,-0.005727367
TAP_41,0.463974833,0.077074889
TAP_40,0.242186414,0.024352793
TAP_4,0.050861807,-0.010304769
TAP_39,0.149913044,0.001118094
TAP_38,0.214698534,0.016909198
TAP_37,0.632866618,0.102225901
