,V1,V2
qNSCII_371,-0.137525501,-0.002538484
qNSCII_370,-0.255692296,0.092525617
qNSCII_37,-0.108587007,-0.041915473
qNSCII_369,-0.192986267,0.046535747
qNSCII_368,-0.168902088,0.027221117
qNSCII_367,-0.161424046,0.020754502
qNSCII_366,-0.128589594,-0.012832372
qNSCII_365,-0.154909085,0.014858449
qNSCII_364,-0.203208561,0.054280612
qNSCII_363,-0.145728188,0.006023893
qNSCII_362,-0.252206211,0.090010493
qNSCII_361,-0.192865693,0.04644318
qNSCII_360,-0.17265848,0.030367986
qNSCII_36,-0.145103437,0.005396334
qNSCII_359,-0.145720954,0.00601665
qNSCII_358,-0.152670667,0.012766353
qNSCII_357,-0.289789137,0.117226588
qNSCII_356,-0.164644187,0.023574936
qNSCII_355,-0.131371111,-0.00950018
qNSCII_354,-0.121880699,-0.021440679
qNSCII_353,-0.131487994,-0.009362493
qNSCII_352,-0.200190061,0.052012703
qNSCII_351,-0.192837484,0.046421524
qNSCII_350,-0.203744232,0.054681487
qNSCII_35,-0.248151098,0.087085192
qNSCII_349,-0.163780894,0.022824424
qNSCII_348,-0.137604542,-0.002452255
qNSCII_347,-0.14704735,0.007336792
qNSCII_346,-0.212650789,0.061293241
qNSCII_345,-0.16751753,0.026045243
qNSCII_344,-0.219868355,0.066590985
qNSCII_343,-0.152080919,0.012208884
qNSCII_342,-0.138066183,-0.001950901
qNSCII_341,-0.151231836,0.011401607
qNSCII_340,-0.224728853,0.070136117
qNSCII_34,-0.148469675,0.008735323
qNSCII_339,-0.155602203,0.015499035
qNSCII_338,-0.427874457,0.220333761
qNSCII_337,-0.129637642,-0.011560737
qNSCII_336,-0.142439998,0.002677719
qNSCII_335,-0.146152211,0.006447736
qNSCII_334,-0.153779684,0.01380743
qNSCII_333,-0.180282236,0.036582366
qNSCII_332,-0.18418343,0.039686108
qNSCII_331,-0.183624879,0.039244504
qNSCII_330,-0.157488667,0.017225267
qNSCII_33,-0.119280017,-0.02503792
qNSCII_329,-0.17877806,0.035372878
qNSCII_328,-0.144027791,0.004307
qNSCII_327,-0.208263762,0.05804889
qNSCII_326,-0.168694278,0.027045117
qNSCII_325,-0.516566246,0.287549254
qNSCII_324,-0.137318026,-0.002764825
qNSCII_323,-0.134584109,-0.005800613
qNSCII_322,-0.135347612,-0.004942806
qNSCII_321,-0.149441689,0.009680865
qNSCII_320,-0.203113387,0.054209386
qNSCII_32,-0.123929359,-0.018716305
qNSCII_319,-0.23167593,0.075180909
qNSCII_318,-0.198612145,0.050821457
qNSCII_317,-0.195313161,0.04831601
qNSCII_316,-0.181053993,0.037199906
qNSCII_315,-0.139770418,-0.000121708
qNSCII_314,-0.161178398,0.020537127
qNSCII_313,-0.193034049,0.046572429
qNSCII_312,-0.174201184,0.031642669
qNSCII_311,-0.248069791,0.087026533
qNSCII_310,-0.16713254,0.025716642
qNSCII_31,-0.113714389,-0.033343829
qNSCII_309,-0.173234713,0.030845087
qNSCII_308,-0.186143444,0.041228656
qNSCII_307,-0.171060567,0.029036926
qNSCII_306,-0.251954202,0.089828694
qNSCII_305,-0.179428129,0.035896519
qNSCII_304,-0.144514719,0.004801303
qNSCII_303,-0.183802714,0.039385222
qNSCII_302,-0.154728824,0.014691346
qNSCII_301,-0.187313605,0.042144489
qNSCII_300,-0.230062687,0.074011395
qNSCII_30,-0.216729394,0.064292611
qNSCII_3,-0.121315655,-0.022208816
qNSCII_299,-0.28656869,0.114881811
qNSCII_298,-0.126347985,-0.0156106
qNSCII_297,-0.155578775,0.015477429
qNSCII_296,-0.162551377,0.021748579
qNSCII_295,-0.187199633,0.042055438
qNSCII_294,-0.213320116,0.061786723
qNSCII_293,-0.144688646,0.004977211
qNSCII_292,-0.12689515,-0.014923394
qNSCII_291,-0.189926042,0.044176256
qNSCII_290,-0.146413455,0.006708027
qNSCII_29,-0.222906916,0.068809128
qNSCII_289,-0.136236071,-0.003954566
qNSCII_288,-0.14848501,0.008750312
qNSCII_287,-0.221597197,0.067853726
qNSCII_286,-0.177064926,0.033985801
qNSCII_285,-0.154122188,0.014127081
qNSCII_284,-0.192594512,0.046234822
qNSCII_283,-0.212779396,0.061388061
qNSCII_282,-0.196609373,0.049302929
qNSCII_281,-0.133949536,-0.006519304
qNSCII_280,-0.185345267,0.040601753
qNSCII_28,-0.265514364,0.099617938
qNSCII_279,-0.198683701,0.05087558
qNSCII_278,-0.218452372,0.065555201
qNSCII_277,-0.197684966,0.050119302
qNSCII_276,-0.141690924,0.001899654
qNSCII_275,-0.14153121,0.001732944
qNSCII_274,-0.242752077,0.083189301
qNSCII_273,-0.193362596,0.046824262
qNSCII_272,-0.162624486,0.021812777
qNSCII_271,-0.167334933,0.025889504
qNSCII_270,-0.168129894,0.026566443
qNSCII_27,-0.171890925,0.029729719
qNSCII_269,-0.153926758,0.01394469
qNSCII_268,-0.172416034,0.030166771
qNSCII_267,-0.167535576,0.026060629
qNSCII_266,-0.189740453,0.04403256
qNSCII_265,-0.233806421,0.076723919
qNSCII_264,-0.218605665,0.065667422
qNSCII_263,-0.333975052,0.149726827
qNSCII_262,-0.118189162,-0.026598905
qNSCII_261,-0.196844369,0.049481505
qNSCII_260,-0.156648493,0.016459466
qNSCII_26,-0.126302216,-0.015668711
qNSCII_259,-0.263678851,0.098291468
qNSCII_258,-0.211205664,0.060227041
qNSCII_257,-0.185167862,0.040462299
qNSCII_256,-0.170807906,0.028825451
qNSCII_255,-0.172907737,0.030574362
qNSCII_254,-0.215827059,0.063630419
qNSCII_253,-0.120305755,-0.023601018
qNSCII_252,-0.148540617,0.008804632
qNSCII_251,-0.164136592,0.02313414
qNSCII_250,-0.155903794,0.015776711
qNSCII_25,-0.210676523,0.059836005
qNSCII_249,-0.15816083,0.017834435
qNSCII_248,-0.201353172,0.052888531
qNSCII_247,-0.147335022,0.007621339
qNSCII_246,-0.151337918,0.01150273
qNSCII_245,-0.157078658,0.016852048
qNSCII_244,-0.142908109,0.003159983
qNSCII_243,-0.157249538,0.017007595
qNSCII_242,-0.148218757,0.008489923
qNSCII_241,-0.220741299,0.067228963
qNSCII_240,-0.196255571,0.049033849
qNSCII_24,-0.252886168,0.090501023
qNSCII_239,-0.146414605,0.006709172
qNSCII_238,-0.12081956,-0.02289086
qNSCII_237,-0.156215157,0.01606275
qNSCII_236,-0.169791147,0.027971269
qNSCII_235,-0.172318632,0.030085851
qNSCII_234,-0.235835301,0.078191804
qNSCII_233,-0.214195648,0.062431347
qNSCII_232,-0.169690126,0.027886168
qNSCII_231,-0.216791882,0.064338452
qNSCII_230,-0.124297271,-0.018235847
qNSCII_23,-0.165636122,0.024432447
